M,N,K,Basic,Autotuned,Split-K,PyTorch
128.000000,128.000000,128.000000,0.508031,0.512000,0.240941,0.512000
256.000000,256.000000,256.000000,2.520615,2.730667,1.638400,2.730667
512.000000,512.000000,512.000000,10.922666,13.107200,9.709037,10.082462
1024.000000,1024.000000,1024.000000,29.537351,32.263877,21.156641,26.214401
2048.000000,2048.000000,2048.000000,34.379542,40.341969,27.639564,43.690665
4096.000000,4096.000000,4096.000000,33.992079,39.592249,29.766628,39.957645
